,date,tic,open,high,low,close,volume,day
21000,2017-10-13,600036.SH,24.1191,24.2837,23.927,23.9636,327343.25,4
21001,2017-10-13,600048.SH,9.1165,9.1695,9.0458,9.0723,656982.22,4
21002,2017-10-13,600050.SH,7.0963,7.1255,7.0474,7.0767,1710565.16,4
21003,2017-10-13,600104.SH,27.5086,27.9371,27.3115,27.3972,205029.53,4
21004,2017-10-16,600000.SH,11.8142,11.887,11.7778,11.8688,236111.64,0
21005,2017-10-16,600009.SH,38.971,39.3794,38.4071,38.9321,51168.51,0
21006,2017-10-16,600016.SH,5.9862,6.0156,5.9643,5.9789,534761.66,0
21007,2017-10-16,600028.SH,4.6796,4.6877,4.6555,4.6796,930228.06,0
21008,2017-10-16,600030.SH,17.0174,17.2349,16.9701,16.9891,811835.46,0
21009,2017-10-16,600031.SH,7.4705,7.4799,7.3384,7.4233,413938.65,0
21010,2017-10-16,600036.SH,24.0459,24.6496,23.9636,24.5764,707031.52,0
21011,2017-10-16,600048.SH,9.1076,9.1341,8.984,8.9928,575364.34,0
21012,2017-10-16,600050.SH,7.106,7.2036,7.0279,7.0377,2010277.36,0
21013,2017-10-16,600104.SH,27.5686,27.7229,26.9602,27.4315,215734.89,0
21014,2017-10-17,600000.SH,11.8688,11.887,11.7778,11.8233,146923.2,1
21015,2017-10-17,600009.SH,38.8154,38.8932,38.4654,38.4751,26184.02,1
21016,2017-10-17,600016.SH,5.9936,5.9936,5.9569,5.9643,287482.53,1
21017,2017-10-17,600028.SH,4.6877,4.7038,4.6716,4.6877,558705.22,1
21018,2017-10-17,600030.SH,16.9701,17.0552,16.904,16.9229,428073.03,1
21019,2017-10-17,600031.SH,7.5459,7.7346,7.4422,7.461,878605.85,1
21020,2017-10-17,600036.SH,24.4209,24.9971,24.4026,24.7228,582939.41,1
21021,2017-10-17,600048.SH,8.984,9.0546,8.9575,9.0281,400655.59,1
21022,2017-10-17,600050.SH,7.0084,7.067,6.9791,7.0377,1172069.7,1
21023,2017-10-17,600104.SH,27.3801,27.5172,26.9773,27.003,169764.73,1
21024,2017-10-18,600000.SH,11.8233,11.9234,11.7687,11.8961,454587.36,2
21025,2017-10-18,600009.SH,38.446,39.4766,38.446,39.2822,68908.51,2
21026,2017-10-18,600016.SH,5.9643,5.9789,5.9569,5.9569,429551.68,2
21027,2017-10-18,600028.SH,4.6796,4.7682,4.6796,4.7521,1656178.57,2
21028,2017-10-18,600030.SH,16.9418,17.0836,16.8094,17.0647,911894.93,2
21029,2017-10-18,600031.SH,7.461,7.5365,7.4045,7.5176,422587.1,2
21030,2017-10-18,600036.SH,24.7502,24.9606,24.613,24.7959,383277.77,2
21031,2017-10-18,600048.SH,9.0281,9.0723,8.9928,9.0546,412372.05,2
21032,2017-10-18,600050.SH,7.0377,7.0865,6.9596,6.9889,1348497.02,2
21033,2017-10-18,600104.SH,26.9859,28.0914,26.9773,27.9971,349215.68,2
21034,2017-10-19,600000.SH,11.8597,11.978,11.8142,11.9507,528811.68,3
21035,2017-10-19,600009.SH,39.3599,39.6516,39.0488,39.5836,48499.69,3
21036,2017-10-19,600016.SH,5.9569,5.9716,5.9056,5.913,616073.41,3
21037,2017-10-19,600028.SH,4.728,4.7682,4.7119,4.7682,1305024.95,3
21038,2017-10-19,600030.SH,17.008,17.0269,16.7811,16.8189,649517.91,3
21039,2017-10-19,600031.SH,7.5176,7.5271,7.3573,7.3667,294114.76,3
21040,2017-10-19,600036.SH,24.8417,24.9697,24.6221,24.7868,408096.14,3
21041,2017-10-19,600048.SH,9.0635,9.1518,9.0105,9.0635,572950.03,3
21042,2017-10-19,600050.SH,6.9791,6.9791,6.7546,6.7546,2799174.33,3
21043,2017-10-19,600104.SH,28.0228,28.3999,27.8428,28.2628,281782.8,3
21044,2017-10-20,600000.SH,11.9143,11.9234,11.8415,11.8415,172284.09,4
21045,2017-10-20,600009.SH,40.449,41.3143,39.5641,39.6808,77128.67,4
21046,2017-10-20,600016.SH,5.9203,5.9203,5.8983,5.913,328983.89,4
21047,2017-10-20,600028.SH,4.7441,4.7521,4.7119,4.7199,490227.24,4
21048,2017-10-20,600030.SH,16.7811,16.9229,16.7149,16.8094,397540.63,4
21049,2017-10-20,600031.SH,7.3384,7.4422,7.3196,7.4233,286979.27,4
21050,2017-10-20,600036.SH,24.6587,24.7593,24.4209,24.4849,281302.62,4
21051,2017-10-20,600048.SH,9.0723,9.1606,9.0281,9.1606,413278.32,4
21052,2017-10-20,600050.SH,6.8034,6.862,6.7839,6.8229,1536384.24,4
21053,2017-10-20,600104.SH,28.1085,28.2885,27.7486,27.9114,137898.28,4
21054,2017-10-23,600000.SH,11.8506,11.8597,11.6776,11.6867,315638.34,0
