date,account_value
2020-06-15,1079660.1240288
2020-06-16,1094366.5472288001
2020-06-17,1073443.3596288
2020-06-18,1068441.1540288
2020-06-19,1084360.6044288
2020-06-22,1076930.8128288002
2020-06-23,1072838.3776288002
2020-06-24,1074353.1300288003
2020-06-29,1068592.7824288001
2020-06-30,1092698.6348288
2020-07-01,1106343.6592288
2020-07-02,1150767.7172288003
2020-07-03,1141670.0132288001
2020-07-06,1169416.4788288001
2020-07-07,1150919.3456288003
2020-07-08,1135909.6656288002
2020-07-09,1149554.6900288002
2020-07-10,1145460.7232288
2020-07-13,1120445.1004288003
2020-07-14,1097550.7436288001
2020-07-15,1103767.5080288001
2020-07-16,1057978.7944288002
2020-07-17,1084057.3476288
2020-07-20,1103615.8796288
2020-07-21,1106646.9160288002
2020-07-22,1091637.2360288
2020-07-23,1079053.6104288003
2020-07-24,1036602.2532288003
2020-07-27,1018560.0052288002
2020-07-28,1023410.5824288002
2020-07-29,1054189.6160288001
2020-07-30,1036147.3680288004
2020-07-31,1029930.6036288003
2020-08-03,1035540.8544288002
2020-08-04,1050247.2776288001
2020-08-05,1025381.7516288003
2020-08-06,1018863.2620288003
2020-08-07,1027656.1776288003
2020-08-10,1037966.9088288002
2020-08-11,1064802.0724288002
2020-08-12,1099673.5412288003
2020-08-13,1104980.5352288
2020-08-14,1139397.1188288
2020-08-17,1127721.7320288003
2020-08-18,1176541.4820288003
2020-08-19,1190489.7632288001
2020-08-20,1164183.0016288003
2020-08-21,1189913.8816288002
2020-08-24,1197725.0416288
2020-08-25,1197725.0416288
2020-08-26,1228050.7216288003
2020-08-27,1212122.0816288001
2020-08-28,1216870.0416288
2020-08-31,1170156.2416288003
2020-09-01,1161119.8016288
2020-09-02,1154993.4016288002
2020-09-03,1162651.4016288002
2020-09-04,1190067.0416288
2020-09-07,1156371.8416288001
2020-09-08,1176895.2816288
2020-09-09,1136307.8816288002
2020-09-10,1128803.0416288
2020-09-11,1121145.0416288
2020-09-14,1137992.6416288002
2020-09-15,1142281.1216288002
2020-09-16,1136154.7216288003
2020-09-17,1143965.8816288002
2020-09-18,1146722.7616288003
2020-09-21,1128803.0416288
2020-09-22,1059881.0416288
2020-09-23,1057430.4816288003
2020-09-24,1053754.6416288002
2020-09-25,1055592.5616288001
2020-09-28,1047628.2416288004
2020-09-29,1059727.8816288002
2020-09-30,1053448.3216288001
2020-10-09,1063250.5616288001
2020-10-12,1073971.7616288003
2020-10-13,1071674.3616288002
2020-10-14,1082089.2416288003
2020-10-15,1066007.4416288
2020-10-16,1064169.5216288003
2020-10-19,1055439.4016288002
2020-10-20,1065394.8016288
2020-10-21,1068764.3216288001
2020-10-22,1039663.9216288002
2020-10-23,1028942.7216288004
2020-10-26,1030780.6416288002
2020-10-27,1018834.1616288002
2020-10-28,1029249.0416288003
2020-10-29,1013167.2416288004
2020-10-30,1012401.4416288001
2020-11-02,967219.2416288003
2020-11-03,984066.8416288003
2020-11-04,986057.9216288002
2020-11-05,1026798.4816288004
2020-11-06,1025573.2016288001
2020-11-09,1075350.2016288
2020-11-10,1137992.6416288002
2020-11-11,1134929.4416288
2020-11-12,1153155.4816288003
2020-11-13,1162957.7216288003
2020-11-16,1199562.9616288
2020-11-17,1202166.6816288
2020-11-18,1241222.4816288003
2020-11-19,1225293.8416288001
2020-11-20,1219933.2416288003
2020-11-23,1212428.4016288002
2020-11-24,1224374.8816288002
2020-11-25,1227897.5616288001
2020-11-26,1254394.2416288003
2020-11-27,1224528.0416288
2020-11-30,1202626.1616288
2020-12-01,1220852.2016288
2020-12-02,1217789.0016288003
2020-12-03,1228357.0416288
2020-12-04,1241528.8016288
2020-12-07,1220086.4016288002
2020-12-08,1208293.0816288001
2020-12-09,1170003.0816288001
2020-12-10,1148713.8416288001
2020-12-11,1153308.6416288002
2020-12-14,1167093.0416288
2020-12-15,1159435.0416288
2020-12-16,1154533.9216288
2020-12-17,1165561.4416288
2020-12-18,1158362.9216288
2020-12-21,1130334.6416288002
2020-12-22,1108585.9216288
2020-12-23,1119613.4416288
2020-12-24,1082701.8816288002
2020-12-25,1115631.2816288
2020-12-28,1095107.8416288001
2020-12-29,1117316.0416288
2020-12-30,1122064.0016288003
